time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-10T08:33:21.140Z,-20.4538,-174.0081,35,6.1,mww,,84,4.08,1.26,us,us1000hq85,2019-01-21T16:42:51.040Z,"80km SSE of Pangai, Tonga",earthquake,8.4,1.9,0.063,24,reviewed,us,us
2018-11-11T14:03:59.560Z,15.5653,-49.8719,10,6.3,mww,,50,9.69,0.65,us,us1000hqkp,2019-01-21T16:42:55.040Z,"North Atlantic Ocean",earthquake,9.2,1.9,0.048,42,reviewed,us,us
2018-11-14T21:21:50.870Z,55.6414,161.9943,49,6.1,mww,,17,3.273,0.72,us,us1000hrv1,2019-01-30T18:36:20.040Z,"71km SSW of Ust'-Kamchatsk Staryy, Russia",earthquake,7,1.8,0.051,37,reviewed,us,us
2018-11-15T20:02:22.920Z,-56.7065,-25.546,15,6.4,mww,,26,6.674,0.76,us,us1000hsaf,2019-01-30T18:36:22.040Z,"101km E of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.2,1.7,0.05,39,reviewed,us,us
2018-11-15T23:09:01.060Z,-56.2363,-122.0441,10,6.3,mww,,16,27.209,0.87,us,us1000hsfz,2019-01-30T18:36:21.040Z,"Southern East Pacific Rise",earthquake,10.1,1.7,0.06,27,reviewed,us,us
2018-11-16T03:26:55.640Z,-10.5383,163.1676,10,6.2,mww,,25,3.354,1.18,us,us1000hsie,2019-01-30T18:36:21.040Z,"136km E of Kirakira, Solomon Islands",earthquake,8.4,1.8,0.05,39,reviewed,us,us
2018-11-18T20:25:46.590Z,-17.8735,-178.9273,540,6.8,mww,,39,2.879,1.3,us,us1000htm5,2019-01-30T18:36:21.040Z,"241km SE of Lambasa, Fiji",earthquake,8.1,1.9,0.038,65,reviewed,us,us
2018-11-25T03:40:50.810Z,13.1817,-81.0931,10,6,mww,,25,0.326,0.94,us,us1000hwaj,2019-02-02T20:02:30.040Z,"36km SE of Mountain, Colombia",earthquake,6.4,1.8,0.045,47,reviewed,us,us
2018-11-25T16:37:32.830Z,34.3609,45.7443,18,6.3,mww,,22,0.754,0.86,us,us1000hwdw,2019-03-06T21:56:01.223Z,"15km SW of Sarpol-e Zahab, Iran",earthquake,5.7,1.8,0.059,28,reviewed,us,us
2018-11-30T17:29:29.330Z,61.3464,-149.9552,46.7,7.1,mw,,,,1.04,ak,ak018fcnsk91,2019-10-18T17:39:40.679Z,"14km NNW of Anchorage, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2018-12-01T13:27:21.080Z,-7.3841,128.7065,136,6.4,mww,,20,2.637,0.93,us,us1000hzjp,2019-06-17T12:06:37.199Z,"294km WNW of Saumlaki, Indonesia",earthquake,7.2,1.9,0.043,52,reviewed,us,us
2018-12-05T04:14:36.490Z,-22.0161,169.3495,10,6.3,mb,,19,2.696,0.73,us,us1000i2gr,2019-02-16T19:52:20.040Z,"160km ESE of Tadine, New Caledonia",earthquake,7.4,1.7,0.035,317,reviewed,us,us
2018-12-05T04:18:08.420Z,-21.9496,169.4266,10,7.5,mww,,18,2.405,0.74,us,us1000i2gt,2019-02-16T19:52:20.040Z,"165km ESE of Tadine, New Caledonia",earthquake,5.1,1.5,0.047,44,reviewed,us,us
2018-12-05T06:43:04.130Z,-22.0629,169.7331,10,6.6,mww,,31,2.679,0.97,us,us1000i2k0,2019-02-16T19:52:21.040Z,"199km ESE of Tadine, New Caledonia",earthquake,7.9,1.8,0.044,50,reviewed,us,us
2018-12-11T02:26:29.420Z,-58.5446,-26.3856,133,7.1,mww,,20,7.043,0.92,us,us2000isc8,2019-02-16T22:29:03.040Z,"54km N of Bristol Island, South Sandwich Islands",earthquake,9.8,1.9,0.029,113,reviewed,us,us
2018-12-12T13:13:56.180Z,-55.6687,-128.6641,10,6.3,mww,,106,30.107,1.02,us,us2000isw3,2019-02-16T22:29:06.040Z,"Pacific-Antarctic Ridge",earthquake,14,1.9,0.051,37,reviewed,us,us
2018-12-16T09:42:37.200Z,-3.9226,140.2323,61.97,6.1,mww,,14,7.364,0.93,us,us2000iu2u,2019-02-16T22:29:10.040Z,"147km SSW of Abepura, Indonesia",earthquake,3,3.8,0.045,48,reviewed,us,us
2018-12-19T01:37:40.500Z,-36.1378,-101.0723,10,6.3,mww,,25,11.408,1.16,us,us2000iuya,2019-02-23T20:21:27.040Z,"Southeast of Easter Island",earthquake,5.6,1.7,0.057,30,reviewed,us,us
2018-12-20T17:01:55.150Z,55.0999,164.6993,16.56,7.3,mww,,23,4.126,0.79,us,us2000ivfw,2019-02-23T20:21:43.040Z,"83km W of Nikol'skoye, Russia",earthquake,7.9,2.9,0.025,155,reviewed,us,us
2018-12-22T14:25:01.180Z,-13.4,166.8151,42,6,mww,,33,2.069,1.11,us,us2000iwat,2019-02-23T20:22:28.040Z,"95km NW of Sola, Vanuatu",earthquake,7.1,1.9,0.043,53,reviewed,us,us
2018-12-23T23:08:43.440Z,-20.2855,-175.071,113,6.4,mww,,20,4.993,0.89,us,us2000iwvb,2019-02-23T20:22:45.040Z,"92km SW of Pangai, Tonga",earthquake,7.8,1.8,0.053,34,reviewed,us,us
2018-12-24T12:41:19.250Z,55.3439,164.5099,10,6.1,mww,,30,4.153,0.77,us,us2000ix3y,2019-03-05T17:46:31.040Z,"95km W of Nikol'skoye, Russia",earthquake,7,1.8,0.042,54,reviewed,us,us
2018-12-29T03:39:09.740Z,5.8983,126.9209,60.21,7,mww,,21,1.769,1.45,us,us2000iyta,2019-03-05T17:46:37.040Z,"96km ESE of Pondaguitan, Philippines",earthquake,6.1,3.2,0.038,67,reviewed,us,us
2018-12-31T02:35:37.670Z,54.4266,-161.5131,31,6,mww,,44,0.92,1.14,us,us2000izcv,2019-10-21T02:45:41.619Z,"114km SE of Cold Bay, Alaska",earthquake,4.2,1.8,0.033,89,reviewed,us,us
2019-01-05T19:25:38.520Z,-8.144,-71.587,570.41,6.8,mww,,16,1.181,1.15,us,us2000j0ja,2019-03-08T17:50:16.040Z,"90km W of Tarauaca, Brazil",earthquake,7.1,2.7,0.049,40,reviewed,us,us
2019-01-06T17:27:18.980Z,2.258,126.758,43.21,6.6,mww,,33,1.596,0.87,us,us2000j0uj,2019-03-08T17:50:17.040Z,"151km WNW of Tobelo, Indonesia",earthquake,6.7,3.6,0.038,68,reviewed,us,us
2019-01-08T12:39:30.950Z,30.5872,131.0441,35,6.3,mww,,26,2.534,0.83,us,us2000j1d4,2019-04-02T20:51:24.040Z,"16km SSE of Nishinoomote, Japan",earthquake,6,1.8,0.051,37,reviewed,us,us
